library,Keyword,ML_Category,Link
fastai,.fit(,Producer,https://docs.fast.ai/learner.html
fastai,.synth_learner(,Producer,https://docs.fast.ai/learner.html
fastai,SkipToEpoch(,Producer,https://docs.fast.ai/learner.html
fastNLP,.fit(,Producer,https://zyfeng-fastnlp.readthedocs.io/en/latest/_modules/fastNLP/models/base_model.html#BaseModel
fastNLP,.train(,Producer,https://zyfeng-fastnlp.readthedocs.io/en/latest/tutorials/fastnlp_1_minute_tutorial.html
flambe,.Trainer(,Producer,https://flambe.ai/en/latest/autoapi/flambe/learn/train/index.html
flambe,_train_step(,Producer,https://flambe.ai/en/latest/autoapi/flambe/learn/train/index.html
gluon,hybrid_forward(,Producer,https://cv.gluon.ai/api/loss.html
gluon,.Trainer(,Producer,https://cv.gluon.ai/build/examples_classification/transfer_learning_minc.html
gluon,.backward(,Producer,https://cv.gluon.ai/build/examples_classification/transfer_learning_minc.html
gluon,.train_mode(,Producer,https://cv.gluon.ai/build/examples_detection/train_faster_rcnn_voc.html
gluon,.record(,Producer,https://cv.gluon.ai/build/examples_detection/train_faster_rcnn_voc.html
gunpowder,.Train(,Producer,https://funkelab.github.io/gunpowder/api.html#torch-train
gym,.update(,Producer,https://gymnasium.farama.org/tutorials/training_agents/blackjack_tutorial/
gym,.step(,Producer,https://gymnasium.farama.org/tutorials/training_agents/blackjack_tutorial/
gym,make(,Producer,https://github.com/Farama-Foundation/Gymnasium/blob/main/docs/tutorials/gymnasium_basics/load_quadruped_model.md
gym,.reset(,Producer,https://gymnasium.farama.org/api/env/#gymnasium.Env.reset
gym,.update_parameters(,Producer,https://gymnasium.farama.org/tutorials/gymnasium_basics/vector_envs_tutorial/
h2o,.train_segments(,Producer,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/training-models.html#classification-and-regression
h2o,.train(,Producer,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/training-models.html#classification-and-regression
habitat_baselines,.train(,Producer,https://github.com/facebookresearch/habitat-lab/blob/main/habitat-baselines/habitat_baselines/il/trainers/pacman_trainer.py
hmmlearn,.fit(,Producer,https://hmmlearn.readthedocs.io/en/latest/api.html#hmmlearn.base._AbstractHMM.fit
hyperpose,.get_train(,Producer,https://hyperpose.readthedocs.io/en/latest/markdown/quick_start/training.html
hyperpose,.TRAIN(,Producer,https://hyperpose.readthedocs.io/en/latest/apirst/apis/hyperpose.Config.html#hyperpose.Config.define.TRAIN
imageai,.trainModel(,Producer,https://imageai.readthedocs.io/en/latest/custom/index.html
keras,.fit(,Producer,https://keras.io/api/models/model_training_apis/
keras,.train_on_batch,Producer,https://keras.io/api/models/model_training_apis/
keras,.fit_generator(,Producer,https://pyimagesearch.com/2018/12/24/how-to-use-keras-fit-and-fit_generator-a-hands-on-tutorial/
libsvm,svm_train(,Producer,https://github.com/cjlin1/libsvm/tree/master/python
lightgbm,.cv(,Producer,https://lightgbm.readthedocs.io/en/latest/Python-API.html#scikit-learn-api
lightgbm,.train(,Producer,https://lightgbm.readthedocs.io/en/latest/Python-API.html#scikit-learn-api
lightning,.fit(,Producer,https://lightning.ai/docs/pytorch/stable/_modules/lightning/pytorch/trainer/trainer.html#Trainer.fit
mlagents,end_episode(,Producer,https://unity-technologies.github.io/ml-agents/Python-On-Off-Policy-Trainer-Documentation/#mlagents.trainers.trainer.rl_trainer.RLTrainer.end_episode
mmengine,.train(,Producer,https://mmengine.readthedocs.io/en/latest/examples/train_a_gan.html
monai,.train(,Producer,https://docs.monai.io/en/stable/auto3dseg.html
mt_dnn,.fit(,Producer,https://github.com/microsoft/MT-DNN?tab=readme-ov-file
mxnet,.set_training(,Producer,https://mxnet.apache.org/versions/1.7/api/python/docs/api/autograd/index.html
mxnet,.step(,Producer,https://mxnet.apache.org/versions/1.7/api/python/docs/api/gluon/trainer.html
mxnet,.train_mode(,Producer,https://mxnet.apache.org/versions/1.7/api/python/docs/api/autograd/index.html
mxnet,.Trainer(,Producer,https://mxnet.apache.org/versions/1.7/api/python/docs/tutorials/getting-started/crash-course/4-train.html
mxnet,.update(,Producer,https://mxnet.apache.org/versions/1.7/api/python/docs/api/gluon/trainer.html
nlpaug,.train(,Producer,https://github.com/makcedward/nlpaug/blob/master/example/tfidf-train_model.ipynb
nnabla,.backward(,Producer,https://nnabla.readthedocs.io/en/latest/python/tutorial/by_examples.html
nnabla,.update(,Producer,https://nnabla.readthedocs.io/en/latest/python/tutorial/multi_device_training.html
nussl,.train(,Producer,https://nussl.github.io/docs/tutorials/training.html
nussl,.TrainClosure(,Producer,https://nussl.github.io/docs/tutorials/training.html
openrec,.train(,Producer,https://openrec.readthedocs.io/en/latest/openrec.legacy.implicit_model_trainer.html
parl,.learn(,Producer,https://parl.readthedocs.io/en/latest/_modules/parl/core/paddle/agent.html#Agent.learn
prophet,.fit(,Producer,https://facebook.github.io/prophet/docs/quick_start.html
pykeen,.train(,Producer,https://pykeen.readthedocs.io/en/stable/tutorial/first_steps.html#training-a-model
pykeen,pipeline(,Producer,https://pykeen.readthedocs.io/en/stable/tutorial/first_steps.html#training-a-model
qucumber,.fit(,Producer,https://qucumber.readthedocs.io/en/stable/_examples/Tutorial5_MonitoringObservables/tutorial_monitor_observables.html
ray,.fit(,Producer,https://docs.ray.io/en/latest/train/overview.html#train-overview
recbole,.fit(,Producer,https://recbole.io/docs/developer_guide/customize_trainers.html
river,.learn_one(,Producer,https://riverml.xyz/latest/recipes/on-hoeffding-trees/
rl_agents,.learn(,Producer,https://rl-agents.readthedocs.io/en/latest/modules.html
rlpyt,.train(,Producer,https://rlpyt.readthedocs.io/en/latest/pages/runner.html
rlpyt,.train(,Producer,https://rlpyt.readthedocs.io/en/latest/pages/runner.html#rlpyt.runners.base.BaseRunner.train
rlzoo,mode='train',Producer,https://rlzoo.readthedocs.io/en/latest/guide/api.html
sagemaker,.fit(,Producer,https://sagemaker.readthedocs.io/en/stable/overview.html#train-a-model-with-the-sagemaker-python-sdk
scvi,.fit(,Producer,https://docs.scvi-tools.org/en/stable/api/reference/scvi.train.Trainer.html#scvi.train.Trainer
scvi,.training_step(,Producer,https://docs.scvi-tools.org/en/stable/api/reference/scvi.train.TrainingPlan.html
scvi,TrainRunner(,Producer,https://docs.scvi-tools.org/en/stable/api/reference/scvi.train.TrainRunner.html
scvi,.train(,Producer,https://docs.scvi-tools.org/en/stable/tutorials/notebooks/scrna/cellassign_tutorial.html#predict-and-plot-assigned-cell-types
sklearn,.fit_predict(,Producer,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.Birch.html#sklearn.cluster.Birch.fit_predict
sklearn,.fit_transform(,Producer,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.Birch.html#sklearn.cluster.Birch.fit_predict
sklearn,.fit(,Producer,https://scikit-learn.org/stable/modules/linear_model.html
sklearn,.partial_fit(,Producer,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.Birch.html#sklearn.cluster.Birch.fit_predict
sklearn,.set_fit_request(,Producer,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.StackingRegressor.html#sklearn.ensemble.StackingRegressor.set_fit_request
sktime,.fit(,Producer,https://www.sktime.net/en/stable/api_reference/auto_generated/sktime.classification.sklearn.RotationForest.html#sktime.classification.sklearn.RotationForest.fit
snorkel,.fit(,Producer,https://snorkel.readthedocs.io/en/v0.9.7/packages/_autosummary/classification/snorkel.classification.Trainer.html#snorkel.classification.Trainer
sparknlp,.fit(,Producer,https://sparknlp.org/api/python/user_guide/custom_pipelines.html
stable_baselines,.learn(,Producer,"also stable-baselines3
: https://stable-baselines.readthedocs.io/en/master/guide/quickstart.html "
tensorflow,.fit(,Producer,https://www.tensorflow.org/guide/keras/customizing_what_happens_in_fit
tensorflow,.train.,Producer,https://www.tensorflow.org/api_docs/python/tf/train
tensorflow,def train_step(,Producer,https://www.tensorflow.org/guide/keras/customizing_what_happens_in_fit
tensorflow,fit(,Producer,https://www.tensorflow.org/guide/keras/customizing_what_happens_in_fit
tensorflow,train_step(,Producer,https://www.tensorflow.org/guide/keras/customizing_what_happens_in_fit
tensorflow,training=True,Producer,https://www.tensorflow.org/guide/keras/writing_a_training_loop_from_scratch
tensorflow,.train(,Producer,https://www.tensorflow.org/api_docs/python/tf
tensorflow,.fit(,Producer,https://keras.io/api/models/model_training_apis/
tensorflow,.train_on_batch,Producer,https://keras.io/api/models/model_training_apis/
tensorflow,.fit_generator(,Producer,https://pyimagesearch.com/2018/12/24/how-to-use-keras-fit-and-fit_generator-a-hands-on-tutorial/
tensorforce,.close(,Producer,https://tensorforce.readthedocs.io/en/latest/agents/agent.html
tensorpack,.run_step(,Producer,https://tensorpack.readthedocs.io/en/latest/modules/train.html#tensorpack.train.Trainer
tensorpack,.train(,Producer,https://tensorpack.readthedocs.io/en/latest/modules/train.html#tensorpack.train.Trainer.train
tensorpack,.train_with_defaults(,Producer,https://tensorpack.readthedocs.io/en/latest/modules/train.html#tensorpack.train.Trainer.train_with_defaults
texcla,.train(,Producer,https://github.com/jfilter/text-classification-keras/
tf_agents,.train(,Producer,https://www.tensorflow.org/agents/tutorials/6_reinforce_tutorial
tf_agents,.train_step_counter.,Producer,https://www.tensorflow.org/agents/tutorials/6_reinforce_tutorial
tf_agents,.Learner(,Producer,https://www.tensorflow.org/agents/tutorials/7_SAC_minitaur_tutorial
tf2rl,Trainer(,Producer,https://github.com/keiohta/tf2rl?tab=readme-ov-file
tflearn,.fit(,Producer,http://tflearn.org/getting_started/#training-evaluating-predicting
tianshou,.run(,Producer,https://github.com/thu-ml/tianshou
tianshou,.update(,Producer,https://tianshou.org/en/stable/01_tutorials/00_dqn.html
torch,.backward(,Producer,https://pytorch.org/tutorials/beginner/introyt/trainingyt.html
torch,.train(,Producer,https://pytorch.org/tutorials/beginner/introyt/trainingyt.html
torch,def forward(,Producer,https://pytorch.org/tutorials/beginner/basics/autogradqs_tutorial.html#
torch,def train_one_epoch(,Producer,https://pytorch.org/tutorials/beginner/introyt/trainingyt.html
torch,train_one_epoch(,Producer,https://pytorch.org/tutorials/beginner/introyt/trainingyt.html
torch_geometric,.train(,Producer,https://pytorch-geometric.readthedocs.io/en/latest/generated/torch_geometric.nn.models.TGNMemory.html?highlight=train
torch_mimicry,.train(,Producer,https://mimicry.readthedocs.io/en/latest/modules/training.html
torchgan,.train(,Producer,https://torchgan.readthedocs.io/en/latest/modules/trainer.html
torchgan,.Trainer(,Producer,https://torchgan.readthedocs.io/en/latest/modules/trainer.html
torchgan,.train_iter(,Producer,https://torchgan.readthedocs.io/en/latest/modules/trainer.html
torchgan,.train_iter_custom(,Producer,https://torchgan.readthedocs.io/en/latest/modules/trainer.html
tpot,.fit(,Producer,http://epistasislab.github.io/tpot/api/
transformers,.train(,Producer,https://huggingface.co/transformers/v3.0.2/training.html
