ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
mpds-io/mpds-ml-labs,ID1,Applied,9,774,1,158.0,2,2627,0.0861035422343324,2.0
hollance/YOLO-CoreML-MPSNNGraph,ID1,Applied,926,232146,249,27.0,2,2773,0.0107612594659226,2.0
yunchuankong/GEDFN,ID1,Applied,23,295,16,15.0,1,2481,0.0071056371387967,1.0
noxouille/rt-mrcnn,ID1,Applied,53,133355,24,198.0,30,2284,0.1019042717447246,32.0
iandanforth/pymuscle,ID1,Applied,60,4220,8,95.0,1,2579,0.0410544511668107,1.0
loujie0822/DeepIE,ID2,Applied,1919,1548,356,259.0,1,1843,0.163716814159292,1.0
yizt/keras-ctpn,ID1,Applied,107,7153,38,85.0,1,2143,0.0453333333333333,1.0
dlarsen5/AdaptiveSFM,ID1,Applied,24,12620,14,44.0,2,2541,0.0195729537366548,2.0
jackyzha0/DroneNet,ID1,Applied,35,343851,7,186.0,0,2312,0.0923994038748137,1.0
miguelvr/dropblock,ID1,Applied,580,50,95,63.0,1,2274,0.0314214463840399,1.0
cjymz886/text-cnn,ID1,Applied,439,23721,117,52.0,1,2332,0.0251086431675519,1.0
mikgroup/sigpy,ID1,Applied,293,3741,89,1123.0,14,2396,0.5262417994376757,14.0
dumyy/handpose,ID1,Applied,130,45516,26,67.0,1,2151,0.0360021493820526,1.0
ImagingLab/Colorizing-with-GANs,ID1,Applied,260,24629,91,216.0,2,2555,0.0942819729375818,2.0
AlexMa011/pytorch-polygon-rnn,ID1,Applied,111,50,42,22.0,2,2457,0.0101010101010101,2.0
KChen89/Cell-Nuclei-Detection-and-Segmentation,ID1,Applied,70,14450,29,28.0,1,2445,0.0129749768303985,1.0
noahgift/real_estate_ml,ID1,Applied,68,34057,57,19.0,1,2628,0.0082179930795847,1.0
noahgift/socialpowernba,ID1,Applied,27,8944,42,84.0,1,2754,0.0353386621792175,1.0
zhijian-liu/torchprofile,ID2,Applied,527,81,38,137.0,5,1969,0.0802107728337236,5.0
biolib/openprotein,ID2,Applied,177,7259,54,163.0,2,2329,0.0797066014669926,2.0
uber-research/UPSNet,ID1,Applied,639,168,119,25.0,0,2154,0.0136462882096069,1.0
uber-research/deep-neuroevolution,ID1,Applied,1617,3804,299,38.0,9,2576,0.0164502164502164,9.0
liyibo/text-classification-demos,ID1,Applied,192,950,45,11.0,1,2212,0.0056965302951838,1.0
theislab/scanpy,ID1,Applied,1768,40480,574,3381.0,30,2916,1.273446327683616,132.0
nekitmm/starnet,ID1,Applied,248,37982,29,115.0,1,2496,0.0519187358916478,1.0
facebookresearch/ELF,ID1,Applied,2086,4663,286,518.0,13,2788,0.2056371576022231,13.0
noc-lab/clinical_concept_extraction,ID1,Applied,37,750,23,19.0,2,2286,0.0108200455580865,2.0
IShengFang/SpectralNormalizationKeras,ID1,Applied,123,2435420,34,44.0,1,2426,0.0204271123491179,1.0
Bartzi/loans,ID1,Applied,15,3188,4,41.0,1,2263,0.0258511979823455,1.0
Bartzi/see,ID1,Applied,569,547,151,50.0,6,2632,0.0214224507283633,6.0
dustalov/watset,ID1,Applied,16,382,5,328.0,1,2998,0.1201465201465201,1.0
munagekar/nnpso,ID1,Applied,30,285,13,79.0,2,2588,0.0353309481216458,2.0
ARM-software/ML-KWS-for-MCU,ID1,Applied,1106,19911,416,11.0,0,2598,0.0046808510638297,1.0
Hippogriff/CSGNet,ID1,Applied,74,289,22,44.0,2,2528,0.0197486535008976,2.0
fsx950223/mobilenetv2-yolov3,ID1,Applied,292,37207,101,219.0,9,2147,0.117049706039551,9.0
fsx950223/MobilenetV3,ID1,Applied,11,22128,7,22.0,1,2073,0.0122358175750834,1.0
remicres/otbtf,ID1,Applied,159,96338,38,1989.0,5,2425,0.9246861924686192,5.0
XiaoMi/mace-models,ID1,Applied,368,6252,73,258.0,10,2402,0.1224489795918367,10.0
toodef/neural-pipeline,ID1,Applied,313,14297,24,406.0,2,2232,0.2198159177043855,2.0
frogermcs/MNIST-TFLite,ID1,Applied,37,16463,11,14.0,1,2187,0.0078212290502793,1.0
rhiever/datacleaner,ID1,Applied,1043,633,211,49.0,3,3253,0.0164484726418261,3.0
titu1994/tfdiffeq,ID1,Applied,214,30380,52,156.0,3,2174,0.0830670926517571,3.0
titu1994/keras-adabound,ID1,Applied,132,3672,35,25.0,1,2157,0.0141083521444695,1.0
titu1994/LSTM-FCN,ID1,Applied,722,7682,259,225.0,2,2707,0.0919869174161897,2.0
titu1994/BatchRenormalization,ID1,Applied,98,40417,28,17.0,2,2894,0.0066302652106084,2.0
NLPatVCU/medaCy,ID1,Applied,423,9222,91,1136.0,13,2309,0.5557729941291585,13.0
robertmartin8/MachineLearningStocks,ID1,Applied,1653,7547,499,84.0,2,2902,0.0318061340401363,2.0
hanxiao/bert-as-service,ID2,Applied,12205,28701,2052,1960.0,30,2264,0.9785322016974538,54.0
yxtay/char-rnn-text-generation,ID1,Applied,62,5042,22,16.0,1,2762,0.0072892938496583,1.0
TheMTank/ai-distillery,ID1,Applied,21,3279,5,118.0,3,2332,0.0610450077599586,3.0
IBM/tensorflow-kubernetes-art-classification,ID1,Applied,60,103456,35,73.0,9,2696,0.0322011468901632,9.0
IBM/MAX-Image-Resolution-Enhancer,ID1,Applied,974,51108,155,72.0,9,2137,0.0384410037373198,9.0
IBM/powerai-transfer-learning,ID1,Applied,37,31167,41,82.0,9,2758,0.0332522303325223,9.0
IBM/MAX-Image-Caption-Generator,ID1,Applied,85,2372,44,59.0,12,2512,0.0262455516014234,12.0
IBM/xgboost-smote-detect-fraud,ID1,Applied,63,5502,49,51.0,4,2432,0.0248780487804878,4.0
IBM/SystemML_Usage,ID1,Applied,14,1841,21,58.0,12,2711,0.0396174863387978,12.0
IBM/MAX-Audio-Classifier,ID1,Applied,152,40102,56,59.0,12,2388,0.0278433223218499,12.0
IBM/powerai-market-sentiment,ID1,Applied,33,11405,21,90.0,11,2843,0.0375782881002087,11.0
IBM/iot-predictive-analytics,ID1,Applied,101,1440,71,71.0,9,2676,0.0297444490992878,9.0
IBM/MAX-Audio-Embedding-Generator,ID1,Applied,50,41513,30,44.0,11,2388,0.0209224916785544,11.0
IBM/MAX-Audio-Sample-Generator,ID1,Applied,20,341,15,44.0,11,2327,0.0252004581901489,11.0
IBM/customer-churn-prediction,ID1,Applied,28,9463,29,73.0,9,2332,0.0392473118279569,9.0
IBM/MAX-Image-Segmenter,ID1,Applied,32,21097,25,61.0,14,2388,0.0449521002210759,14.0
chenwuperth/rgz_rcnn,ID1,Applied,37,3399,15,109.0,3,2510,0.0494779845665002,3.0
alvinwan/neural-backed-decision-trees,ID2,Applied,600,2699,131,830.0,12,1770,0.5503978779840849,12.0
alyosama/virnet,ID1,Applied,29,21944,4,11.0,1,2328,0.0065050266114725,1.0
sseung0703/SSKD_SVD,ID1,Applied,49,1731,10,34.0,1,2506,0.0155109489051094,1.0
newhiwoong/National-Petition,ID1,Applied,46,141260,16,97.0,2,2208,0.0636900853578463,2.0
WHUIR/DAZER,ID1,Applied,33,144,13,51.0,1,2453,0.0309278350515463,1.0
Keep-Current/Engine,ID1,Applied,21,16341,7,134.0,5,2537,0.0625583566760037,5.0
bioinform/neusomatic,ID1,Applied,167,71688,50,194.0,3,2344,0.0944958597174866,3.0
IDSIA/sacred,ID1,Applied,4159,6119,377,1344.0,30,3951,0.3642276422764228,94.0
maximecb/gym-miniworld,ID1,Applied,672,153212,128,562.0,16,2340,0.2709739633558341,16.0
jiali-ms/JLM,ID1,Applied,109,54225,23,48.0,2,2572,0.0219478737997256,2.0
gittar/k-means-u-star,ID1,Applied,12,27959,6,23.0,1,2772,0.0193277310924369,1.0
iamvon/viBlind,ID1,Applied,33,253565,7,176.0,4,2143,0.105832832230908,4.0
szilard/benchm-ml,ID1,Applied,1865,1133,335,522.0,9,3589,0.1568509615384615,9.0
xuanzebi/BERT-CH-NER,ID1,Applied,391,1780,100,20.0,1,2134,0.0106780565936999,1.0
