ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
wmylxmj/YOLO-V3-IOU,ID1,Applied,128,285439,27,69.0,1,2196,0.0378082191780821,1.0
umbertogriffo/Predictive-Maintenance-using-LSTM,ID1,Applied,595,8410,238,31.0,2,2697,0.0127362366474938,2.0
sunyumark/ScaDec-deep-learning-diffractive-tomography,ID1,Applied,21,3668,10,47.0,1,2433,0.028415961305925,1.0
tqtg/hierarchical-attention-networks,ID1,Applied,84,1124,25,18.0,1,2246,0.0091277890466531,1.0
WLM1ke/poptimizer,ID1,Applied,150,60832,28,3258.0,6,2243,1.6487854251012146,6.0
huseinzol05/Machine-Learning-Data-Science-Reuse,ID1,Applied,35,39950,32,101.0,1,2692,0.0434221840068787,1.0
hmchuong/ML-BoneSuppression,ID1,Applied,55,3716,23,13.0,1,2461,0.0066056910569105,1.0
patverga/bran,ID1,Applied,127,82775,33,16.0,1,2593,0.0071748878923766,1.0
foamliu/Machine-Translation,ID1,Applied,142,82,40,53.0,1,2384,0.0250828206341694,1.0
ai-med/nn-common-modules,ID1,Applied,32,283,15,46.0,4,2279,0.0245333333333333,4.0
ai-med/squeeze_and_excitation,ID1,Applied,303,326,51,41.0,3,2299,0.0202369200394866,3.0
ahmetgunduz/Real-time-GesRec,ID1,Applied,601,22161,167,55.0,4,2206,0.0283359093250901,4.0
imatge-upc/rvos,ID1,Applied,278,47130,54,42.0,5,2144,0.0230263157894736,5.0
johri002/Automatic-leaf-infection-identifier,ID1,Applied,220,231381,157,74.0,9,2250,0.0374304501770359,9.0
utkarshmalik211/Reconstructing-Blurred-Human-Faces,ID1,Applied,11,29222,5,189.0,1,2495,0.1038461538461538,1.0
YaleDHLab/pix-plot,ID2,Applied,570,7822,137,841.0,12,2730,0.341314935064935,12.0
MartinThoma/clana,ID1,Applied,29,962,4,121.0,3,2694,0.0521102497846683,3.0
daniel-cortez-stevenson/crypto-predict,ID1,Applied,35,21022,13,205.0,1,2407,0.0955710955710955,1.0
AyanKumarBhunia/Handwriting_Recogition_using_Adversarial_Learning,ID1,Applied,61,260,17,19.0,0,2135,0.010286951813752,1.0
nnsuite/nnstreamer,ID1,Applied,669,93224,167,3806.0,30,2376,1.802936996684036,59.0
cuguilke/microexpnet,ID1,Applied,139,2898,26,73.0,2,2624,0.0309978768577494,2.0
marcogdepinto/Emotion-Classification-Ravdess,ID1,Applied,393,676876,130,138.0,2,2239,0.0700863382427628,2.0
flatironinstitute/CaImAn,ID2,Applied,602,590755,355,4610.0,30,3458,1.4424280350438048,53.0
gabrielwong159/siamese,ID1,Applied,30,321,11,22.0,1,2460,0.0107948969578017,1.0
Sekunde/3D-SIS,ID1,Applied,372,12317,72,21.0,2,2127,0.0113268608414239,2.0
sbrodehl/tf-boilerplate,ID1,Applied,8,62,3,43.0,2,2444,0.0211406096361848,2.0
ayush1997/YouTube-Like-predictor,ID1,Applied,141,44573,36,19.0,1,2915,0.0072243346007604,1.0
sahitya0000/Relation-Classification,ID1,Applied,55,23350,16,26.0,1,2305,0.0129675810473815,1.0
jrzaurin/ml_pipelines,ID1,Applied,102,20814,52,40.0,2,2159,0.0214132762312633,2.0
klane/databall,ID1,Applied,130,22566,24,795.0,6,2902,0.302396348421453,6.0
atulapra/Emotion-detection,ID1,Applied,1091,16469,455,72.0,3,2727,0.0292207792207792,3.0
avanetten/simrdwn,ID1,Applied,211,141839,156,67.0,1,2283,0.0342011230219499,1.0
LucaAngioloni/ProteinSecondaryStructure-CNN,ID1,Applied,108,46087,31,71.0,1,2587,0.0308293530178028,1.0
paris-saclay-cds/ramp-board,ID1,Applied,12,122383,17,1506.0,17,2952,0.5866770549279314,17.0
SparkJiao/SLQA,ID1,Applied,78,79,12,51.0,1,2285,0.0268421052631578,1.0
baidu-research/NCRF,ID1,Applied,748,101832,184,60.0,2,2425,0.0277520814061054,2.0
tugraz-isds/systemds,ID1,Applied,37,16459,21,434.0,17,2330,0.2625529340592861,17.0
MuhammedBuyukkinaci/Object-Classification-and-Localization-with-TensorFlow,ID1,Applied,23,9160,11,46.0,1,2333,0.0230692076228686,1.0
MuhammedBuyukkinaci/TensorFlow-Multiclass-Image-Classification-using-CNN-s,ID1,Applied,66,151198,38,63.0,1,2497,0.0288065843621399,1.0
MuhammedBuyukkinaci/TensorFlow-Sentiment-Analysis-on-Amazon-Reviews-Data,ID1,Applied,50,63398,17,26.0,1,2209,0.0134158926728586,1.0
MuhammedBuyukkinaci/TensorFlow-Binary-Image-Classification-using-CNN-s,ID1,Applied,26,176594,12,117.0,1,2499,0.0682215743440233,1.0
aerdem4/kaggle-quora-dup,ID1,Applied,136,65,53,11.0,1,2784,0.0044336960902861,1.0
spallas/time-attention,ID1,Applied,59,2209,19,92.0,3,2224,0.0483701366982124,3.0
JavierAntoran/Bayesian-Neural-Networks,ID1,Applied,1749,16355,292,86.0,3,2145,0.0456960680127523,3.0
yysijie/st-gcn,ID1,Applied,1422,58539,333,193.0,5,1973,0.112733644859813,5.0
npuichigo/voicenet,ID1,Applied,61,77745,10,62.0,1,2784,0.0300678952473326,1.0
pedrohserrano/machine-learning-use-cases,ID1,Applied,20,381513,5,36.0,3,2597,0.0294117647058823,3.0
rushter/heamy,ID1,Applied,550,92,114,64.0,5,3178,0.0219931271477663,5.0
crownpku/Information-Extraction-Chinese,ID1,Applied,2197,82730,812,76.0,6,2724,0.0308692120227457,6.0
art-programmer/FloorNet,ID1,Applied,204,23863,51,36.0,4,2492,0.0161362617660242,4.0
oupirum/sp2cp,ID1,Applied,23,29148,0,64.0,1,2429,0.0409207161125319,1.0
polyrabbit/hacker-news-digest,ID1,Applied,648,4622,87,458.0,6,3781,0.1301136363636363,6.0
soujanyaporia/multimodal-sentiment-analysis,ID1,Applied,310,91540,73,69.0,2,2393,0.0323791647114031,2.0
soujanyaporia/aspect-extraction,ID1,Applied,158,327,39,12.0,1,2371,0.0057859209257473,1.0
Sasa94s/stock_market,ID1,Applied,12,64510,5,131.0,5,2539,0.0911621433542101,5.0
knjcode/pytorch-finetuner,ID1,Applied,15,40,3,15.0,1,2198,0.0103234686854783,1.0
snuspl/parallax,ID1,Applied,130,2389,35,53.0,6,2374,0.0251303935514461,6.0
HunterMcGushion/hyperparameter_hunter,ID1,Applied,702,7628,103,1096.0,2,2428,0.5057683433317951,2.0
hawk31/pyGPGO,ID1,Applied,236,62350,61,299.0,3,2983,0.1112765165612206,3.0
keon/seq2seq,ID1,Applied,683,32,172,37.0,4,2609,0.0157580919931856,4.0
mohamedameen93/German-Traffic-Sign-Classification-Using-TensorFlow,ID1,Applied,67,9320,45,21.0,4,2619,0.0089058524173027,4.0
kakaobrain/torchgpipe,ID1,Applied,780,468,93,350.0,6,2085,0.1926252063841497,6.0
VectorFist/CNN-Fusion,ID1,Applied,52,8124,20,36.0,1,2566,0.0157411456055968,1.0
tlatkowski/multihead-siamese-nets,ID1,Applied,182,1502,43,152.0,3,2577,0.0661732694819329,3.0
Mini-Conf/Mini-Conf,ID2,Applied,534,13516,109,141.0,12,1718,0.0975778546712802,12.0
deep-fingerprinting/df,ID1,Applied,154,37,52,27.0,1,2352,0.0129186602870813,1.0
SConsul/ML101,ID1,Applied,11,4552,12,50.0,1,2453,0.0279017857142857,1.0
ne7ermore/deeping-flow,ID1,Applied,50,31872,14,57.0,1,2617,0.0310457516339869,1.0
s14t284/TorchCRF,ID1,Applied,131,65,11,72.0,4,2269,0.0359281437125748,4.0
Cartus/DCGCN,ID1,Applied,77,3630,8,28.0,2,2117,0.0153677277716794,2.0
Cartus/AGGCN_TACRED,ID1,Applied,430,203018,87,41.0,2,2071,0.0228158041179744,2.0
loretoparisi/bert-movie-reviews-sentiment-classifier,ID1,Applied,13,58,7,10.0,1,2119,0.0061728395061728,1.0
yusugomori/deeplearning-tf2,ID1,Applied,134,59,26,69.0,2,2177,0.0385044642857142,2.0
yusugomori/dl-book-generative,ID1,Applied,11,10,3,11.0,1,2109,0.0064973419964559,1.0
EmilienDupont/neural-processes,ID1,Applied,214,17008,47,14.0,3,2095,0.0078212290502793,3.0
pycroscopy/pycroscopy,ID1,Applied,250,362044,71,4032.0,19,3141,1.419718309859155,21.0
DongjunLee/kino-bot,ID1,Applied,144,7638,16,569.0,2,3053,0.2056378749548247,2.0
blue-oil/blueoil,ID1,Applied,248,304801,85,1540.0,30,2289,0.8004158004158004,51.0
andriyadi/Maix-LogoClassifier,ID1,Applied,25,3769,10,10.0,1,2084,0.007716049382716,1.0
msmbuilder/vde,ID1,Applied,183,800,44,21.0,5,2617,0.009090909090909,5.0
alldbi/Factorized-Spatial-Embeddings,ID1,Applied,27,1227,7,36.0,1,2446,0.0217785843920145,1.0
PPPLDeepLearning/plasma-python,ID1,Applied,78,3032,44,1118.0,6,3000,0.4101247248716067,6.0
ECRL/ECNet,ID1,Applied,16,171314,7,876.0,4,2814,0.3515248796147672,4.0
scvae/scvae,ID1,Applied,78,2228,25,1053.0,2,2901,0.4042226487523992,2.0
HITS-AIN/PINK,ID1,Applied,20,114694,11,880.0,2,2348,0.4417670682730923,2.0
neptune-ml/open-solution-talking-data,ID1,Applied,11,533,6,47.0,3,2480,0.0268111808328579,3.0
neptune-ml/open-solution-avito-demand-prediction,ID1,Applied,17,1213,8,45.0,5,2464,0.0259067357512953,5.0
neptune-ml/open-solution-cdiscount-starter,ID1,Applied,19,34,8,29.0,6,2655,0.0126914660831509,6.0
anujdutt9/Audio-Scene-Classification,ID1,Applied,19,135355,3,21.0,1,2493,0.0094979647218453,1.0
amoussawi/recoder,ID1,Applied,55,3637,7,196.0,3,2544,0.0867640548915449,3.0
gpleiss/efficient_densenet_pytorch,ID1,Applied,1504,1144,329,95.0,11,2794,0.0376088677751385,11.0
Dumbris/trunklucator,ID1,Applied,81,28750,5,81.0,2,2462,0.0389985556090515,2.0
sunsided/vae-style-transfer,ID1,Applied,36,653,4,22.0,1,2906,0.0092320604280318,1.0
gasparian/PicsArtHack-binary-segmentation,ID1,Applied,60,9092,7,91.0,1,2246,0.0549848942598187,1.0
IlyaGusev/rnnmorph,ID1,Applied,148,10810,24,107.0,4,2689,0.0452622673434856,5.0
Hoiy/berserker,ID1,Applied,17,178,1,36.0,1,2209,0.028235294117647,1.0
zhpmatrix/CGED_TF,ID1,Applied,51,84,15,26.0,1,2352,0.0169602087410306,1.0
dwadden/dygiepp,ID2,Applied,561,1099,117,708.0,10,2165,0.3732208750658935,10.0
idearibosome/tf-perceptual-eusr,ID1,Applied,45,1779,10,113.0,1,2325,0.0713383838383838,1.0
cpury/lstm-math,ID1,Applied,27,1893,8,42.0,2,2736,0.0180102915951972,2.0
ucla-labx/distbelief,ID1,Applied,107,4041,26,147.0,2,2475,0.0664256665160415,2.0
ahmdtaha/tf_retrieval_baseline,ID1,Applied,39,902,6,50.0,1,2091,0.0280583613916947,1.0
ahmdtaha/FineGrainedVisualRecognition,ID1,Applied,22,1498,7,56.0,1,2324,0.0287917737789203,1.0
williamgilpin/convoca,ID1,Applied,77,1149,21,13.0,1,2330,0.0063663075416258,1.0
ParsianRoboticLab/Zero-Shot-Learning,ID1,Applied,11,3141,1,40.0,4,2203,0.0213106020245071,4.0
jacobkimmel/lanternfish,ID1,Applied,14,53757,2,15.0,1,2760,0.0063371356147021,1.0
yinguobing/tfrecord_utility,ID1,Applied,29,62,20,57.0,1,2614,0.026748005631159,1.0
baumgach/acdc_segmenter,ID1,Applied,97,227,38,63.0,3,2781,0.0255889520714865,3.0
elcolumbio/mlrepricer,ID1,Applied,8,6003,3,117.0,1,2448,0.0601542416452442,1.0
MaestroGraph/sparse-hyper,ID1,Applied,43,34310,5,845.0,1,2770,0.3542976939203354,1.0
PaddlePaddle/Anakin,ID1,Applied,529,25597,135,788.0,14,2442,0.363301060396496,14.0
bethgelab/siamese-mask-rcnn,ID2,Applied,340,88924,61,174.0,2,2424,0.0807799442896936,2.0
yashkant/Padam-Tensorflow,ID1,Applied,51,954277,7,224.0,3,2230,0.1214092140921409,3.0
gabrieltseng/pycrop-yield-prediction,ID1,Applied,156,5711,55,30.0,1,2168,0.0158562367864693,1.0
spotify/spotify-tensorflow,ID1,Applied,124,1090,28,332.0,14,2718,0.1386221294363256,14.0
minar09/Fashion-Clothing-Parsing,ID1,Applied,36,1290,15,62.0,1,2213,0.0337690631808278,1.0
vecto-ai/vecto,ID1,Applied,63,1009,11,861.0,8,2467,0.4218520333170015,8.0
ParthS007/Loan-Approval-Prediction,ID1,Applied,87,366,75,13.0,2,2259,0.006690684508492,2.0
vliu15/3d-brain-tumor-segmentation,ID1,Applied,45,21006,8,240.0,2,2089,0.132669983416252,2.0
mayorx/rcf-edge-detection,ID1,Applied,64,2152,17,48.0,1,2183,0.0253031101739588,1.0
strutive07/TIL,ID1,Applied,10,218330,0,91.0,2,2172,0.0749588138385502,2.0
VainF/pytorch-msssim,ID2,Applied,988,12260,120,155.0,9,2107,0.0839653304442036,9.0
tshev/faster-FastText,ID1,Applied,15,4579,0,349.0,30,2094,0.2072446555819477,41.0
yaqingwang/EANN-KDD18,ID1,Applied,219,30486,82,82.0,1,2250,0.0415610745058286,1.0
yjxiong/tsn-pytorch,ID1,Applied,1057,31,314,31.0,2,2723,0.0126272912423625,2.0
peterwhycs/T-BEAR,ID1,Applied,12,189228,2,257.0,1,2396,0.122556032427277,1.0
dimimal/semantics_segmentation_of_urban_environments,ID1,Applied,18,3520,1,65.0,1,2683,0.0272765421737305,1.0
gbnk0/simple-image-classifier,ID1,Applied,25,108,8,137.0,1,2381,0.0693670886075949,1.0
havanagrawal/clomask,ID1,Applied,6,178184,4,192.0,4,2282,0.1107266435986159,4.0
ypwhs/captcha_break,ID1,Applied,2668,6916,687,12.0,2,2893,0.0045592705167173,2.0
rdspring1/PyTorch_GBW_LM,ID1,Applied,122,4720,21,10.0,1,2626,0.0043122035360068,1.0
abojchevski/paican,ID1,Applied,24,7332,13,16.0,1,2486,0.0077108433734939,1.0
abojchevski/graph2gauss,ID1,Applied,169,18400,38,28.0,2,2486,0.0126984126984126,2.0
pawangeek/pytorch-notebooks,ID1,Applied,68,45093,44,38.0,2,2064,0.0211699164345403,2.0
AlexiaJM/Deep-learning-with-cats,ID1,Applied,1383,9684,188,105.0,2,2785,0.0416006339144215,2.0
scikit-garden/scikit-garden,ID1,Applied,280,328,75,155.0,10,2836,0.0605705353653771,10.0
msurtsukov/neural-ode,ID1,Applied,633,2278,114,25.0,3,2192,0.0129466597617814,3.0
BS-TrainingCenter/Gesture-Recognition-Mask-RCNN,ID1,Applied,11,10496,2,10.0,2,2394,0.0047393364928909,2.0
Timthony/document-scan-on-the-phone,ID1,Applied,23,82610,7,32.0,1,2270,0.0169851380042462,1.0
johannfaouzi/pyts-repro,ID1,Applied,17,52,3,21.0,1,2127,0.0115384615384615,1.0
johannfaouzi/pyts,ID1,Applied,1706,7886,162,391.0,10,2733,0.1581715210355987,10.0
AlexIoannides/pymc-example-project,ID1,Applied,102,81087,19,36.0,0,2564,0.0155911650064963,1.0
nikonikolov/rltf,ID1,Applied,80,539,24,377.0,1,2227,0.2046688382193268,1.0
HolyBayes/pytorch_ard,ID1,Applied,82,62,16,52.0,1,2386,0.024551463644948,1.0
HYU-AILAB/ai-seminar,ID1,Applied,82,377510,18,653.0,30,2648,0.2800171526586621,39.0
taehoonlee/tensornets,ID2,Applied,1005,2238,185,284.0,5,2683,0.1209025117071094,5.0
kabkabm/defensegan,ID1,Applied,225,2852,63,42.0,2,2463,0.0191605839416058,2.0
rohanpillai20/Image-Classification-by-Keras-and-Tensorflow,ID1,Applied,83,42,60,42.0,2,2391,0.0198393953708077,2.0
autonomio/wrangle,ID1,Applied,15,179,9,125.0,4,2826,0.0490580847723704,4.0
Hananel-Hazan/bindsnet,ID1,Applied,1432,31147,332,1916.0,30,2540,0.8410886742756805,45.0
hugochan/BAMnet,ID1,Applied,175,1210,36,14.0,2,2150,0.0076377523186033,2.0
chehongshu/DL-tenserflow,ID1,Applied,124,704380,129,14.0,1,2518,0.0062667860340196,1.0
rkwitt/quicksilver,ID1,Applied,131,244483,42,53.0,3,2863,0.020727414939382,3.0
crisbodnar/text-to-image,ID1,Applied,76,25464,28,177.0,2,2660,0.0741206030150753,2.0
ArkinDharawat/DeepImageRanking,ID1,Applied,22,4658,10,37.0,1,2133,0.0208216094541361,1.0
Open-Debin/Emotion-FAN,ID2,Applied,323,9955,77,228.0,1,1975,0.1350710900473933,1.0
david-yoon/QA_HRDE_LTC,ID1,Applied,31,55,12,24.0,1,2495,0.0115998066698888,1.0
david-yoon/detecting-incongruity,ID1,Applied,38,256,4,92.0,1,2262,0.0490143846563665,1.0
david-yoon/multimodal-speech-emotion,ID1,Applied,245,244,69,49.0,1,2202,0.0253099173553719,1.0
shahrukhqasim/TIES-2.0,ID1,Applied,276,88,69,55.0,3,2161,0.0292708887706226,3.0
ljvmiranda921/gym-lattice,ID1,Applied,54,293,8,83.0,4,2487,0.0402131782945736,4.0
SuperCowPowers/bat,ID1,Applied,415,5331,110,572.0,9,2864,0.220679012345679,9.0
letsgogeeky/QuadCopter-RL,ID1,Applied,9,769,2,26.0,2,2480,0.0122931442080378,2.0
cvjena/libmaxdiv,ID1,Applied,58,44269,12,296.0,2,2969,0.1125903385317611,2.0
glm-tools/pyglmnet,ID1,Applied,278,7667,82,859.0,26,3218,0.2904971254649983,26.0
LaceyChen17/neural-collaborative-filtering,ID1,Applied,447,14643,141,28.0,2,2505,0.0124777183600713,2.0
initial-h/AlphaZero_Gomoku_MPI,ID1,Applied,178,29401,42,20.0,1,2234,0.0104712041884816,1.0
diganthp/pi-vision,ID1,Applied,6,37076,1,103.0,1,2430,0.0539267015706806,1.0
Armour/Automatic-Image-Colorization,ID1,Applied,169,40717,45,49.0,5,2968,0.0181818181818181,5.0
SforAiDl/Deep-Learning-TIP,ID1,Applied,26,13531,24,71.0,5,2312,0.0381310418904403,5.0
SforAiDl/Neural-Voice-Cloning-With-Few-Samples,ID1,Applied,422,44363,123,38.0,2,2361,0.018155757286192,2.0
google-research/meta-dataset,ID2,Applied,740,3153,139,319.0,23,2151,0.1704970603955104,23.0
woongbinchoi/English-Premier-League-Prediction,ID1,Applied,59,7488,25,75.0,2,2315,0.0379554655870445,2.0
X-czh/SeqGAN-PyTorch,ID1,Applied,51,827,16,31.0,1,2390,0.015026660203587,1.0
Doragd/Chinese-Chatbot-PyTorch-Implementation,ID1,Applied,856,85558,188,10.0,3,2085,0.0055035773252614,3.0
sonarsushant/Loan-Defaulter-Prediction,ID1,Applied,10,380,12,11.0,1,2372,0.006578947368421,1.0
adler-j/learned_primal_dual,ID1,Applied,89,35,36,12.0,1,2787,0.0047770700636942,1.0
benedekrozemberczki/role2vec,ID1,Applied,163,7721,38,119.0,2,2188,0.0633652822151224,2.0
benedekrozemberczki/GRAF,ID1,Applied,10,1644,11,99.0,1,2540,0.0668016194331983,1.0
benedekrozemberczki/DANMF,ID1,Applied,200,2421,40,76.0,1,2254,0.0395215808632345,1.0
benedekrozemberczki/RolX,ID1,Applied,61,5303,21,68.0,1,2431,0.0317757009345794,1.0
benedekrozemberczki/ASNE,ID1,Applied,79,1063,27,78.0,2,2302,0.0396140172676485,2.0
jantrienes/ecir2019-qac,ID1,Applied,9,65,2,11.0,1,2288,0.011,1.0
cetinsamet/attribute-label-embedding,ID1,Applied,10,1100,1,24.0,1,1866,0.0155844155844155,1.0
Daniil-Osokin/lightweight-human-pose-estimation.pytorch,ID1,Applied,2024,213,476,37.0,1,2154,0.0195560253699788,1.0
ugnelis/tensorflow-rnn-ctc,ID1,Applied,29,764,14,55.0,3,2707,0.0272007912957467,3.0
tensorlayer/hyperpose,ID2,Applied,1241,10134,275,538.0,17,2343,0.258902791145332,17.0
microljy/DREN_Tensorflow,ID1,Applied,11,75,2,10.0,2,2743,0.0082034454470877,2.0
nyuxz/ds1008_final_project,ID1,Applied,7,86787,3,59.0,2,2477,0.0335417851051733,2.0
titipata/detecting-scientific-claim,ID1,Applied,141,1743,19,114.0,3,2422,0.0554744525547445,3.0
moemen95/Pytorch-Project-Template,ID1,Applied,846,168,189,51.0,5,2509,0.0226868327402135,5.0
LeeDoYup/DeblurGAN-tf,ID1,Applied,66,2216,15,74.0,1,2432,0.0349551251771374,1.0
mondejar/ecg-classification,ID1,Applied,506,18571,193,61.0,1,2803,0.0240346729708431,1.0
PAIR-code/facets,ID1,Applied,7319,23287,889,277.0,30,2757,0.1109775641025641,31.0
Nrgeup/controllable-text-attribute-transfer,ID1,Applied,128,184258,26,35.0,1,2065,0.0208333333333333,1.0
NVIDIA/DeepRecommender,ID1,Applied,1680,1397,338,41.0,8,2694,0.0168793742280774,8.0
dasguptar/treelstm.pytorch,ID1,Applied,549,51,140,48.0,5,2848,0.0185614849187935,5.0
haibincoder/DjangoTensorflow,ID1,Applied,24,84828,6,34.0,3,2613,0.0146173688736027,3.0
VivekPa/AIAlpha,ID1,Applied,1627,13852,444,41.0,2,2300,0.0201078960274644,2.0
clusterking/clusterking,ID1,Applied,11,3096,1,830.0,4,2302,0.5555555555555556,4.0
ashwhall/dsnt,ID1,Applied,65,26,24,27.0,3,2622,0.0120697362539114,3.0
jeffkinnison/shadho,ID1,Applied,19,13499,8,426.0,2,2852,0.1753086419753086,2.0
HewlettPackard/dlcookbook-dlbs,ID1,Applied,131,14034,51,191.0,4,2632,0.0819390819390819,4.0
Erlemar/digit-draw-recognize,ID1,Applied,58,8684,12,121.0,1,2776,0.0534452296819788,1.0
SMTorg/smt,ID1,Applied,625,126092,190,1489.0,26,2998,0.5440263061746438,28.0
masyagin1998/robin,ID1,Applied,169,25958,37,87.0,2,2282,0.0438066465256797,2.0
CynthiaKoopman/Network-Intrusion-Detection,ID1,Applied,227,2554,87,12.0,1,2851,0.004642166344294,1.0
Tamuel/TF_SemanticSegmentation,ID1,Applied,26,3434,9,18.0,1,2077,0.0106761565836298,1.0
buptxiaofeng/seizure-prediction,ID1,Applied,14,37808,6,16.0,1,2952,0.0069444444444444,1.0
GiteshJ/Breast-Cancer-Phase-Detection,ID1,Applied,10,16443,3,11.0,2,2458,0.0051764705882352,2.0
MingtaoGuo/Learning-Residual-Images-for-Face-Attribute-Manipulation,ID1,Applied,35,26575,9,28.0,1,2455,0.0137524557956778,1.0
MingtaoGuo/DnCNN-Denoise-Gaussian-noise-TensorFlow,ID1,Applied,59,1427,13,14.0,1,2337,0.0072239422084623,1.0
MingtaoGuo/Deep-Feature-Interporlation-Face-Attribute-manipulation-Glasses-Remove-Youth2Senior-etc.-TensorFlow,ID1,Applied,28,9357,11,27.0,1,2326,0.0137614678899082,1.0
MingtaoGuo/CNN-for-Chinese-Calligraphy-Styles-classification,ID1,Applied,38,10143,4,43.0,1,2455,0.0203598484848484,1.0
MingtaoGuo/Residual-Dense-Network-Trained-with-cGAN-for-Super-Resolution,ID1,Applied,25,978,3,20.0,1,2225,0.0117302052785923,1.0
MingtaoGuo/sngan_projection_TensorFlow,ID1,Applied,40,816,4,33.0,1,2269,0.0224489795918367,1.0
allenai/scibert,ID1,Applied,1438,54349,211,253.0,6,2185,0.1317708333333333,6.0
allenai/comb_dist_direct_relex,ID1,Applied,31,85,7,23.0,1,2131,0.0131729667812142,1.0
allenai/scispacy,ID1,Applied,1617,248857,220,1059.0,21,2313,0.5160818713450293,21.0
timctho/random-wired-nn-tensorflow,ID1,Applied,8,1253,3,37.0,1,2114,0.0590111642743221,1.0
Pinafore/qb,ID1,Applied,166,182850,50,1524.0,17,3526,0.4674846625766871,17.0
deepforge-dev/deepforge,ID1,Applied,751,21071,78,1062.0,9,3241,0.3612244897959183,9.0
EdinburghNLP/nematus,ID2,Applied,798,2891,271,892.0,30,3194,0.3080110497237569,34.0
developmentseed/label-maker,ID1,Applied,454,19745,111,396.0,12,2570,0.1745262230057294,12.0
philipperemy/keras-attention-mechanism,ID1,Applied,2799,4270,675,102.0,2,2802,0.0402525651144435,2.0
philipperemy/tensorflow-ctc-speech-recognition,ID1,Applied,131,649,47,52.0,2,2823,0.0222222222222222,2.0
HareeshBahuleyan/music-genre-classification,ID1,Applied,97,50084,38,21.0,2,2497,0.0095541401273885,2.0
HLTCHKUST/Mem2Seq,ID1,Applied,353,8241,107,46.0,3,2467,0.0216878830740216,3.0
swdsld/RandWire_tensorflow,ID1,Applied,30,326,9,65.0,1,2114,0.0484712900820283,1.0
dantaki/SV2,ID1,Applied,58,10847,11,210.0,3,2919,0.0806761429120245,3.0
cair/TextUnderstandingTsetlinMachine,ID1,Applied,48,2474,10,75.0,2,2326,0.0382653061224489,2.0
anibali/margipose,ID1,Applied,97,14291,20,82.0,2,2421,0.0385882352941176,2.0
Hellcatzm/SSD_Realization_TensorFlow,ID1,Applied,11,839,7,39.0,2,2347,0.0693950177935943,2.0
Hellcatzm/SSD_Realization_MXNet,ID1,Applied,12,2641,1,61.0,1,2430,0.0381488430268918,1.0
Hellcatzm/TransforLearning_TensorFlow,ID1,Applied,58,590,19,61.0,1,2467,0.0279688216414488,1.0
eyounx/ZOOpt,ID1,Applied,390,12789,100,364.0,8,2929,0.1371514694800301,8.0
EliasCai/bert-toxicity-classification,ID1,Applied,50,776,16,22.0,1,2120,0.0129487934078869,1.0
AdivarekarBhumit/ID-Card-Segmentation,ID1,Applied,100,8021,40,25.0,1,2189,0.0131578947368421,1.0
renjunxiang/Text-Classification,ID1,Applied,303,10918,222,20.0,1,2557,0.0087719298245614,1.0
AaronWard/covidify,ID2,Applied,446,95316,118,270.0,8,1820,0.1781002638522427,8.0
roclark/basketball-predictor,ID1,Applied,33,7202,8,120.0,2,2982,0.0470772852098862,2.0
ValentinRicher/emotion-recognition-GAN,ID1,Applied,25,24686,4,104.0,1,2279,0.0528723945094051,1.0
bitextor/bitextor,ID2,Applied,280,185590,43,3994.0,23,2474,1.8088768115942029,23.0
intuit/foremast-brain,ID1,Applied,17,2450,23,339.0,9,2235,0.44140625,9.0
yala/text_nn,ID1,Applied,69,61,34,26.0,2,2571,0.0126643935703848,2.0
oseiskar/autosubsync,ID1,Applied,355,85,30,70.0,2,2307,0.034296913277805,2.0
yu4u/noise2noise,ID1,Applied,1064,9589,237,54.0,1,2380,0.0254957507082152,1.0
njellinas/GAN-Voice-Conversion,ID1,Applied,51,30,16,11.0,1,2102,0.0064065230052417,1.0
tebesu/CollaborativeMemoryNetwork,ID1,Applied,181,34176,57,14.0,1,2472,0.0064073226544622,1.0
tangkk/tangkk-mirex-ace,ID1,Applied,18,46474,2,305.0,1,3571,0.100926538716082,1.0
kdexd/virtex,ID2,Applied,555,3824,64,221.0,3,1956,0.131547619047619,3.0
kkanshul/finegan,ID1,Applied,277,14615,43,31.0,2,2249,0.0159137577002053,2.0
bareblackfoot/lddp-tf-faster-rcnn,ID1,Applied,9,2499,1,312.0,13,2530,0.1667557455905932,13.0
SiteHuang/COMP90055-Spider-Object-Detection,ID1,Applied,5,205975,2,28.0,1,2166,0.0402298850574712,1.0
Kaixhin/Rainbow,ID2,Applied,1531,176,280,161.0,10,2663,0.0670833333333333,10.0
silversparro/wav2letter.pytorch,ID1,Applied,125,108,23,32.0,2,2116,0.017372421281216,2.0
MagNet-DL/magnet,ID1,Applied,359,2012,26,228.0,2,2450,0.1089345437171524,2.0
oscarknagg/few-shot,ID1,Applied,1170,16934,243,48.0,1,2277,0.0238805970149253,1.0
shirosaidev/airbnbbot,ID1,Applied,30,447,6,53.0,1,2177,0.0282666666666666,1.0
CVxTz/EEG_classification,ID1,Applied,134,396,39,14.0,1,2310,0.0068694798822374,1.0
CVxTz/graph_classification,ID1,Applied,64,18,23,11.0,1,2182,0.0061213132999443,1.0
