ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
logpai/loglizer,ID1,Tool,1230.0,11102.0,418.0,121.0,5.0,3176.0,0.041537933401991,5.0
lovit/soynlp,ID1,Tool,904.0,35696.0,181.0,766.0,11.0,2812.0,0.3007459756576364,11.0
lozuwa/impy,ID1,Tool,116.0,95869.0,31.0,146.0,2.0,2715.0,0.0613187736245275,2.0
lRomul/argus,ID1,Tool,80.0,850.0,9.0,369.0,4.0,2394.0,0.173974540311174,4.0
lucasrodes/whatstk,ID1,Tool,118.0,42465.0,24.0,852.0,4.0,2971.0,0.3143911439114391,4.0
lucfra/FAR-HO,ID1,Tool,188.0,517.0,48.0,162.0,4.0,2607.0,0.0693196405648267,4.0
lucleray/object-detection,ID1,Tool,80.0,2695.0,15.0,33.0,1.0,2166.0,0.0177514792899408,1.0
lufficc/SSD,ID1,Tool,1486.0,764.0,383.0,141.0,9.0,2240.0,0.0712481051035876,9.0
lvzhaoyang/DeeperInverseCompositionalAlgorithm,ID1,Tool,153.0,6214.0,29.0,18.0,2.0,2153.0,0.0101809954751131,2.0
lzfelix/minuet,ID1,Tool,6.0,2233.0,1.0,74.0,2.0,2456.0,0.0884109916367981,2.0
lzx551402/geodesc,ID1,Tool,191.0,11976.0,41.0,15.0,1.0,2389.0,0.0070921985815602,1.0
M-Nauta/TCDF,ID1,Tool,444.0,4812.0,101.0,13.0,1.0,2216.0,0.0066496163682864,1.0
m09/syllable-counter,ID1,Tool,11.0,62.0,5.0,65.0,6.0,3844.0,0.0205047318611987,6.0
Machine-Learning-Tokyo/Poetry-GAN,ID1,Tool,49.0,2584.0,11.0,12.0,1.0,2238.0,0.0061475409836065,1.0
machinelearnjs/machinelearnjs,ID1,Tool,537.0,4463.0,54.0,805.0,7.0,2461.0,0.3738968880631677,7.0
madsjulia/SVR.jl,ID1,Tool,19.0,1066.0,6.0,190.0,5.0,2956.0,0.0752177355502771,5.0
magnusfurugard/featuretoolsR,ID1,Tool,49.0,67.0,8.0,62.0,3.0,2349.0,0.0324267782426778,3.0
MahmoudWahdan/Siamese-Sentence-Similarity,ID1,Tool,47.0,399.0,11.0,19.0,1.0,2811.0,0.0093091621754042,1.0
majianjia/nnom,ID1,Tool,802.0,27147.0,233.0,665.0,14.0,2194.0,0.3442028985507246,14.0
malllabiisc/HyTE,ID1,Tool,170.0,430.0,50.0,40.0,2.0,2341.0,0.0192585459797785,2.0
Maluuba/nlg-eval,ID1,Tool,1300.0,96723.0,218.0,87.0,8.0,2767.0,0.0347166799680766,8.0
manuwhs/Trapyng,ID1,Tool,36.0,125507.0,14.0,19.0,2.0,2530.0,0.0086996336996337,2.0
mapmeld/aoc_reply_dataset,ID1,Tool,13.0,31270.0,3.0,19.0,1.0,2097.0,0.0146379044684129,1.0
marcoramilli/MalwareTrainingSets,ID1,Tool,213.0,51539.0,102.0,18.0,1.0,2965.0,0.0066765578635014,1.0
Mariewelt/OpenChem,ID1,Tool,657.0,170218.0,109.0,444.0,2.0,2389.0,0.2095327984898537,2.0
markdtw/matching-networks,ID1,Tool,54.0,11.0,25.0,10.0,1.0,2753.0,0.0043010752688172,1.0
martinRenou/Odysis,ID1,Tool,15.0,10794.0,2.0,100.0,2.0,2175.0,0.0690131124913733,2.0
marty1885/tiny-htm,ID1,Tool,6.0,50.0,4.0,52.0,1.0,2174.0,0.0559139784946236,1.0
masatoi/cl-random-forest,ID1,Tool,59.0,238.0,6.0,117.0,3.0,2892.0,0.0473684210526315,3.0
