ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
openml/automlbenchmark,ID1,Tool,380.0,119978.0,130.0,1327.0,23.0,2362.0,0.6340181557572862,23.0
openml/OpenML,ID1,Tool,638.0,609289.0,90.0,2317.0,25.0,4426.0,0.5569711538461538,25.0
openml/openml-python,ID1,Tool,274.0,202863.0,144.0,1659.0,30.0,3962.0,0.4520435967302452,46.0
openml/openml-r,ID1,Tool,95.0,4374.0,37.0,1376.0,16.0,4150.0,0.3565690593417984,16.0
openml/openml-tutorial,ID1,Tool,12.0,84602.0,5.0,67.0,2.0,2134.0,0.0402160864345738,2.0
OpenOCL/OpenOCL,ID1,Tool,347.0,1728.0,64.0,1133.0,2.0,3037.0,0.4082882882882883,2.0
openopt/copt,ID1,Tool,134.0,16072.0,35.0,916.0,9.0,3356.0,0.299738219895288,9.0
opensemanticsearch/open-semantic-entity-search-api,ID1,Tool,167.0,149.0,31.0,99.0,3.0,2508.0,0.0441570026761819,3.0
OpenSextant/SolrTextTagger,ID1,Tool,172.0,403.0,37.0,195.0,9.0,4291.0,0.0488354620586025,9.0
OpenSextant/Xponents,ID1,Tool,42.0,82280.0,7.0,2123.0,6.0,4200.0,0.5429667519181586,6.0
openvenues/libpostal,ID1,Tool,3954.0,37845.0,405.0,5370.0,30.0,3614.0,1.601550849985088,47.0
orktes/go-torch,ID1,Tool,237.0,32.0,33.0,36.0,1.0,2166.0,0.0192102454642476,1.0
OryxProject/oryx,ID1,Tool,1789.0,7464.0,405.0,1113.0,15.0,3835.0,0.3115029387069689,15.0
otenim/TensorFlow-OS-ELM,ID1,Tool,51.0,22714.0,17.0,154.0,1.0,2713.0,0.0634789777411376,1.0
ottogroup/palladium,ID1,Tool,482.0,482.0,58.0,358.0,11.0,3587.0,0.1101538461538461,11.0
own-pt/cl-conllu,ID1,Tool,12.0,566.0,5.0,261.0,8.0,2998.0,0.1007333076032419,8.0
owulveryck/onnx-go,ID1,Tool,641.0,53209.0,65.0,315.0,18.0,2340.0,0.1515880654475457,18.0
p-morais/deep-rl,ID1,Tool,13.0,16565.0,4.0,118.0,2.0,2737.0,0.0602348136804492,2.0
PaddlePaddle/FluidDoc,ID1,Tool,230.0,287529.0,669.0,4421.0,30.0,2422.0,2.045812124016659,389.0
PaddlePaddle/X2Paddle,ID1,Tool,715.0,23087.0,159.0,2190.0,30.0,2206.0,1.1294481691593603,31.0
ParallelDots/ParallelDots-PHP-API,ID1,Tool,9.0,476.0,3.0,51.0,6.0,3433.0,0.0189169139465875,6.0
ParallelDots/ParallelDots-Python-API,ID1,Tool,43.0,86.0,16.0,101.0,7.0,3485.0,0.0380271084337349,7.0
ParikhKadam/bidaf-keras,ID1,Tool,64.0,223.0,21.0,169.0,4.0,2223.0,0.0919477693144722,4.0
parlance/ctcdecode,ID1,Tool,808.0,771.0,236.0,188.0,15.0,2780.0,0.0747217806041335,15.0
patrickschur/language-detection,ID1,Tool,792.0,1137.0,83.0,117.0,13.0,2951.0,0.0436079016026835,13.0
patrickschur/stanford-nlp-tagger,ID1,Tool,75.0,12.0,14.0,15.0,3.0,2908.0,0.0061224489795918,3.0
patrikhuber/eos,ID1,Tool,1880.0,14829.0,595.0,1398.0,12.0,3635.0,0.4147137347967962,12.0
pavelkomarov/projection-pursuit,ID1,Tool,31.0,1066.0,14.0,197.0,1.0,2551.0,0.0866695996480422,1.0
PeculiarVentures/GammaCV,ID1,Tool,171.0,27903.0,21.0,487.0,15.0,2401.0,0.2283169245194561,15.0
pedrodbs/Aglomera,ID1,Tool,46.0,2746.0,15.0,25.0,2.0,2444.0,0.0116713352007469,2.0
pemistahl/lingua,ID1,Tool,659.0,444397.0,60.0,512.0,7.0,2261.0,0.2562562562562562,7.0
perone/medicaltorch,ID1,Tool,833.0,809.0,126.0,57.0,7.0,2522.0,0.0252771618625277,7.0
peterbozso/ULIS.NET,ID1,Tool,4.0,104.0,1.0,71.0,2.0,2679.0,0.0326286764705882,2.0
peterdalle/svensktext,ID1,Tool,71.0,50362.0,6.0,160.0,4.0,2358.0,0.0798004987531172,4.0
PetrochukM/PyTorch-NLP,ID1,Tool,2205.0,13169.0,258.0,451.0,16.0,2524.0,0.2002664298401421,16.0
PetropoulakisPanagiotis/neighbors-problem,ID1,Tool,7.0,14442.0,1.0,166.0,1.0,2295.0,0.1000602772754671,1.0
pfjaeger/medicaldetectiontoolkit,ID1,Tool,1269.0,4564.0,299.0,41.0,2.0,2295.0,0.0202369200394866,2.0
pfnet-research/chainer-chemistry,ID1,Tool,611.0,2388.0,128.0,1591.0,21.0,2613.0,0.6767333049766057,21.0
pfnet-research/menoh,ID1,Tool,279.0,1468.0,35.0,563.0,13.0,2408.0,0.2633302151543498,13.0
pfnet-research/menoh-ruby,ID1,Tool,26.0,7531.0,4.0,155.0,4.0,2397.0,0.0817510548523206,4.0
pfnet-research/node-menoh,ID1,Tool,5.0,6604.0,0.0,35.0,2.0,2389.0,0.0956284153005464,2.0
pfnet/optuna,ID1,Tool,9710.0,19042.0,953.0,17665.0,30.0,2528.0,7.792236435818262,229.0
php-opencv/php-opencv,ID1,Tool,333.0,930.0,43.0,382.0,3.0,2444.0,0.1757129714811407,3.0
picnicml/doddle-model,ID1,Tool,138.0,594.0,23.0,299.0,8.0,2540.0,0.1345634563456345,8.0
PINTO0309/TensorflowLite-UNet,ID1,Tool,78.0,160569.0,22.0,106.0,2.0,2289.0,0.0615920976176641,2.0
pixiedust/pixiedust,ID1,Tool,1037.0,34384.0,165.0,2157.0,25.0,3128.0,0.7534055186866923,25.0
plstcharles/thelper,ID1,Tool,15.0,1982.0,7.0,1465.0,4.0,2372.0,0.943943298969072,4.0
pm4py/pm4py-source,ID1,Tool,654.0,110293.0,256.0,7586.0,30.0,2396.0,3.554826616682287,50.0
pmorerio/dl-uncertainty,ID1,Tool,205.0,120.0,36.0,51.0,1.0,2253.0,0.0256024096385542,1.0
pnavaro/big-data,ID1,Tool,48.0,174622.0,30.0,116.0,1.0,1963.0,0.0688427299703264,1.0
polyaxon/polyaxon-client,ID1,Tool,12.0,27138.0,14.0,778.0,9.0,2624.0,0.3316283034953112,9.0
polyaxon/polyaxon-schemas,ID1,Tool,6.0,1193.0,12.0,615.0,6.0,2678.0,0.2856479331165815,6.0
PolyMathOrg/libtensorflow-pharo-bindings,ID1,Tool,32.0,448.0,10.0,253.0,6.0,2538.0,0.1134529147982062,6.0
pommedeterresautee/fastrtext,ID1,Tool,100.0,6180.0,15.0,208.0,2.0,2732.0,0.0886237750319556,2.0
possiblecee/UnityVision-iOS,ID1,Tool,131.0,102923.0,26.0,45.0,3.0,2376.0,0.0230650948231676,3.0
potterhsu/easy-faster-rcnn.pytorch,ID1,Tool,166.0,3647.0,57.0,97.0,1.0,2333.0,0.0473864191499755,1.0
pplonski/keras2cpp,ID1,Tool,680.0,1055.0,153.0,49.0,5.0,3188.0,0.0167464114832535,5.0
ppplinday/vgg16-by-ARM-Compute-Library,ID1,Tool,30.0,97519.0,14.0,10.0,1.0,2772.0,0.0046816479400749,1.0
prihoda/golem,ID1,Tool,46.0,2196.0,11.0,167.0,2.0,3037.0,0.0613294160852001,2.0
primitiv/primitiv,ID1,Tool,175.0,3076.0,27.0,1629.0,10.0,2818.0,0.642603550295858,10.0
primitiv/primitiv-python,ID1,Tool,17.0,967.0,2.0,393.0,4.0,2612.0,0.2249570692615912,4.0
proycon/colibri-core,ID1,Tool,123.0,10634.0,19.0,1393.0,4.0,4142.0,0.3589281113115176,4.0
proycon/foliapy,ID1,Tool,18.0,11809.0,5.0,2033.0,7.0,2331.0,1.0533678756476683,7.0
proycon/pynlpl,ID1,Tool,476.0,13435.0,65.0,2160.0,9.0,5315.0,0.4276380914670362,9.0
proycon/python-timbl,ID1,Tool,17.0,134.0,2.0,161.0,2.0,4364.0,0.0411343893714869,2.0
proycon/python-ucto,ID1,Tool,29.0,62.0,4.0,118.0,1.0,3900.0,0.0334941810956571,1.0
Pseudomanifold/Aleph,ID1,Tool,98.0,1784.0,17.0,2212.0,4.0,2976.0,0.8478344193177463,4.0
psipred/DMPfold,ID1,Tool,54.0,204035.0,15.0,182.0,5.0,2205.0,0.0962453728186144,5.0
pytorch/ignite,ID1,Tool,4460.0,54597.0,607.0,1701.0,30.0,2618.0,0.7216801018243529,198.0
pytorch/pytorch,ID1,Tool,78223.0,1028484.0,21105.0,73723.0,30.0,3085.0,26.10587818696884,337.0
pytorch/text,ID1,Tool,3445.0,48303.0,810.0,1309.0,30.0,2964.0,0.4849944423860689,143.0
pytorch/tnt,ID1,Tool,1628.0,7505.0,259.0,937.0,30.0,2966.0,0.3465236686390532,85.0
pytorch/translate,ID1,Tool,816.0,2546.0,192.0,813.0,30.0,2466.0,0.3707250341997264,56.0
pytorch/vision,ID1,Tool,15486.0,1001599.0,6850.0,3861.0,30.0,2997.0,1.4111842105263157,448.0
qiyiping/gbdt,ID1,Tool,93.0,611.0,69.0,103.0,1.0,4028.0,0.0274886575927408,1.0
QuantGov/quantgov,ID1,Tool,30.0,13725.0,12.0,141.0,6.0,2900.0,0.0560859188544152,6.0
r9y9/nnmnkwii,ID1,Tool,392.0,83492.0,77.0,466.0,9.0,2759.0,0.1865492393915132,9.0
raahii/video-gans-evaluation,ID1,Tool,23.0,380.0,6.0,42.0,1.0,2219.0,0.0242214532871972,1.0
raamana/neuropredict,ID1,Tool,100.0,17149.0,26.0,697.0,2.0,2884.0,0.2677679600461006,2.0
rabidgremlin/Mutters,ID1,Tool,153.0,775.0,41.0,208.0,7.0,3041.0,0.0758293838862559,7.0
rahul-raj/Deeplearning4J,ID1,Tool,74.0,20897.0,11.0,98.0,2.0,2427.0,0.0467111534795042,2.0
rahulvigneswaran/Intrusion-Detection-Systems,ID1,Tool,226.0,13619.0,94.0,33.0,2.0,2315.0,0.0160818713450292,2.0
rai-project/caffe,ID1,Tool,1.0,27287.0,2.0,243.0,5.0,2771.0,0.238235294117647,5.0
rai-project/mxnet,ID1,Tool,8.0,2020.0,4.0,206.0,4.0,2736.0,0.1111111111111111,4.0
rai-project/tensorflow,ID1,Tool,6.0,4529.0,4.0,430.0,7.0,2771.0,0.3926940639269406,7.0
ramadis/delitos-caba,ID1,Tool,45.0,11556.0,3.0,13.0,1.0,2561.0,0.0058850158442734,1.0
rapidsai/cuml,ID1,Tool,3928.0,158402.0,504.0,15440.0,30.0,2296.0,7.587223587223587,132.0
RaRe-Technologies/gensim,ID1,Tool,15270.0,106281.0,4343.0,4516.0,30.0,5096.0,0.9340227507755946,397.0
RasaHQ/rasa_core,ID1,Tool,2333.0,1059972.0,1023.0,4698.0,30.0,2684.0,1.9421248449772632,100.0
rasbt/mlxtend,ID1,Tool,4771.0,97030.0,845.0,1645.0,30.0,3815.0,0.4628587507034327,94.0
Ravaelles/Atlantis,ID1,Tool,56.0,40342.0,12.0,753.0,4.0,3498.0,0.2366436203645506,4.0
raviqqe/tensorflow-qnd,ID1,Tool,56.0,268.0,7.0,336.0,2.0,2956.0,0.1306884480746791,2.0
ray-project/ray,ID1,Tool,31234.0,399493.0,5277.0,21750.0,30.0,3012.0,7.906215921483097,417.0
Raymond-sci/AND,ID1,Tool,150.0,1170.0,21.0,13.0,1.0,2101.0,0.0071350164654226,1.0
rdk/p2rank,ID1,Tool,223.0,382892.0,32.0,1533.0,6.0,3042.0,0.5526315789473685,6.0
redone17/deep-sensor,ID1,Tool,42.0,1703.0,14.0,80.0,1.0,2594.0,0.0370198981952799,1.0
Refefer/Dampr,ID1,Tool,102.0,182.0,7.0,138.0,1.0,2251.0,0.0739549839228295,1.0
reiinakano/scikit-plot,ID1,Tool,2400.0,3119.0,279.0,130.0,12.0,2910.0,0.0490936555891238,12.0
RenatoGeh/gospn,ID1,Tool,23.0,26996.0,5.0,308.0,1.0,3137.0,0.1147968691762952,1.0
Revmaker/innatis,ID1,Tool,58.0,148.0,14.0,94.0,7.0,2229.0,0.0634278002699055,7.0
rflamary/POT,ID1,Tool,2259.0,45162.0,480.0,1509.0,30.0,3017.0,0.5475326560232221,64.0
RGF-team/rgf,ID1,Tool,371.0,5508.0,56.0,484.0,9.0,3151.0,0.1697054698457223,9.0
RidgeRun/gst-inference,ID1,Tool,119.0,916.0,29.0,759.0,14.0,2283.0,0.3793103448275862,14.0
RidgeRun/r2inference,ID1,Tool,25.0,10087.0,9.0,823.0,14.0,2316.0,0.4562084257206208,14.0
rishabhmisra/Product-Catalog-Size-Recommendation-Framework,ID1,Tool,26.0,23.0,16.0,7.0,1.0,2323.0,0.0037135278514588,1.0
rkmalaiya/network_anomaly_detection_deep_learning,ID1,Tool,15.0,41991.0,8.0,160.0,1.0,2864.0,0.0650142218610321,1.0
rlan/notebooks,ID1,Tool,32.0,415.0,5.0,242.0,1.0,2484.0,0.1094527363184079,1.0
RLOpensource/Relational_Deep_Reinforcement_Learning,ID1,Tool,49.0,7930.0,5.0,11.0,1.0,2116.0,0.0065398335315101,1.0
rmit-ir/tesserae,ID1,Tool,30.0,1498.0,9.0,168.0,2.0,2323.0,0.088841882601798,2.0
Robbepop/prophet,ID1,Tool,39.0,444.0,1.0,151.0,1.0,3063.0,0.0553113553113553,1.0
roberino/linqinfer,ID1,Tool,15.0,75541.0,0.0,730.0,3.0,3264.0,0.2879684418145957,3.0
RoboTeamTwente/roboteam_ai,ID1,Tool,15.0,27043.0,2.0,3457.0,30.0,2318.0,1.745959595959596,33.0
RobotLocomotion/pytorch-dense-correspondence,ID1,Tool,553.0,76751.0,133.0,927.0,2.0,2536.0,0.4096332302253646,2.0
robrua/easy-bert,ID1,Tool,166.0,46.0,44.0,29.0,2.0,2099.0,0.0158817086527929,2.0
ROCmSoftwarePlatform/Tensile,ID1,Tool,192.0,96974.0,133.0,5411.0,30.0,3367.0,1.744920993227991,71.0
root-project/root,ID1,Tool,2422.0,1055220.0,1213.0,81654.0,30.0,4228.0,20.58331232669524,318.0
RootHarold/Lycoris,ID1,Tool,177.0,2923.0,2.0,453.0,1.0,2664.0,0.2267267267267267,1.0
rosette-api-community/rosettepedia,ID1,Tool,7.0,25.0,0.0,11.0,1.0,2802.0,0.0054917623564653,1.0
rosette-api/nodejs,ID1,Tool,8.0,2202.0,11.0,297.0,14.0,3436.0,0.1030892051371051,14.0
rosette-api/python,ID1,Tool,37.0,1705.0,91.0,422.0,19.0,3485.0,0.1340533672172808,19.0
rosette-api/R-Binding,ID1,Tool,5.0,1105.0,8.0,178.0,11.0,3192.0,0.0773240660295395,11.0
Rostlab/nalaf,ID1,Tool,112.0,33566.0,26.0,1975.0,6.0,3589.0,0.5968570565125415,6.0
Roulbac/GanSeg,ID1,Tool,25.0,46.0,4.0,4.0,0.0,2114.0,0.0022779043280182,1.0
rsokl/MyGrad,ID1,Tool,186.0,9313.0,21.0,1552.0,12.0,2747.0,0.6288492706645057,12.0
rstudio/cloudml,ID1,Tool,65.0,3504.0,24.0,1036.0,9.0,2897.0,0.4666666666666667,9.0
rstudio/sparkxgb,ID1,Tool,46.0,188.0,14.0,150.0,5.0,2255.0,0.0752634219769192,5.0
rtavenar/tslearn,ID1,Tool,2790.0,7488.0,330.0,1637.0,30.0,2821.0,0.639453125,36.0
rth/vtext,ID1,Tool,147.0,280.0,11.0,143.0,3.0,2271.0,0.0745179781136008,3.0
RubixML/RubixML,ID1,Tool,1977.0,31134.0,172.0,2049.0,30.0,2535.0,0.9014518257809064,33.0
runwayml/model-sdk,ID1,Tool,103.0,2536.0,27.0,114.0,6.0,2267.0,0.0598425196850393,6.0
rutujar/scikit-learn,ID1,Tool,2.0,361.0,3.0,33.0,1.0,2360.0,0.1235955056179775,1.0
rvw-org/rvw,ID1,Tool,22.0,549.0,2.0,93.0,3.0,2447.0,0.0492845786963434,3.0
ryfeus/gcf-packs,ID1,Tool,52.0,229414.0,12.0,15.0,2.0,2374.0,0.007278020378457,2.0
rylans/getlang,ID1,Tool,167.0,57.0,21.0,42.0,4.0,2520.0,0.0185922974767596,4.0
SAG-KeLP/kelp-additional-algorithms,ID1,Tool,15.0,2762.0,3.0,81.0,4.0,3356.0,0.0370539798719121,4.0
SAG-KeLP/kelp-additional-kernels,ID1,Tool,20.0,157.0,4.0,65.0,4.0,3356.0,0.0297346752058554,4.0
salesforce/WikiSQL,ID1,Tool,1566.0,51936.0,319.0,128.0,21.0,2722.0,0.0520113774888256,21.0
sammous/spacy-lefff,ID1,Tool,63.0,2990.0,12.0,175.0,3.0,2505.0,0.0780205082478823,3.0
samuelstjean/nlsam,ID1,Tool,23.0,66084.0,11.0,732.0,2.0,3935.0,0.2053872053872054,2.0
SangitaNLP/sangita,ID1,Tool,41.0,38224.0,41.0,64.0,1.0,2796.0,0.0282935455349248,1.0
sangwook236/SWL,ID1,Tool,11.0,397456.0,6.0,1364.0,1.0,3480.0,0.5334376222135315,1.0
SAP/machine-learning-dgm,ID1,Tool,37.0,68.0,10.0,7.0,1.0,2243.0,0.003767491926803,1.0
SAPConversationalAI/SDK-iOS,ID1,Tool,21.0,1108.0,14.0,58.0,6.0,3237.0,0.0230616302186878,6.0
SAPConversationalAI/SDK-NodeJS,ID1,Tool,69.0,592.0,36.0,191.0,9.0,3180.0,0.0713485244676877,9.0
SAPConversationalAI/SDK-PHP,ID1,Tool,19.0,161.0,18.0,69.0,6.0,3055.0,0.0256696428571428,6.0
SAPConversationalAI/SDK-python,ID1,Tool,22.0,418.0,20.0,114.0,7.0,3160.0,0.0429055325555137,7.0
SAPConversationalAI/SDK-ruby,ID1,Tool,18.0,420.0,7.0,111.0,6.0,3202.0,0.0410351201478743,6.0
sarahromanes/multiDA,ID1,Tool,11.0,2816.0,2.0,117.0,1.0,2499.0,0.2358870967741935,1.0
satopirka/nlp-nnabla,ID1,Tool,8.0,2809.0,1.0,104.0,1.0,2584.0,0.0477721635277905,1.0
sayaleepote/TextDetect,ID1,Tool,14.0,28.0,3.0,8.0,1.0,2409.0,0.0087431693989071,1.0
scaleway/frontalization,ID1,Tool,210.0,26894.0,49.0,11.0,1.0,2145.0,0.0059912854030501,1.0
ScanNet/ScanNet,ID1,Tool,1692.0,8388.0,342.0,145.0,6.0,2903.0,0.0549242424242424,6.0
Schultzer/libblas,ID1,Tool,15.0,372.0,2.0,36.0,2.0,2162.0,0.0338028169014084,2.0
scikit-learn-contrib/hdbscan,ID1,Tool,2683.0,26720.0,483.0,1005.0,30.0,3564.0,0.3042688465031789,69.0
scikit-learn-contrib/imbalanced-learn,ID1,Tool,6708.0,22610.0,1273.0,865.0,30.0,3813.0,0.2435247747747747,77.0
scikit-learn-contrib/mimic,ID1,Tool,21.0,1012.0,6.0,117.0,2.0,2296.0,0.0610647181628392,2.0
scikit-learn-contrib/polylearn,ID1,Tool,243.0,3311.0,43.0,56.0,3.0,3118.0,0.0196009800490024,3.0
scikit-learn-contrib/stability-selection,ID1,Tool,208.0,9007.0,63.0,115.0,3.0,2532.0,0.0515695067264574,3.0
scikit-learn/scikit-learn,ID1,Tool,58222.0,159079.0,24991.0,31353.0,30.0,5273.0,6.255586592178771,409.0
scikit-multiflow/scikit-multiflow,ID1,Tool,742.0,63885.0,182.0,1088.0,30.0,2627.0,0.4614079728583545,33.0
SciSharp/scikit-learn.net,ID1,Tool,38.0,31.0,13.0,12.0,1.0,2263.0,0.0060483870967741,1.0
SciSharp/SiaNet,ID1,Tool,378.0,76617.0,97.0,332.0,6.0,2649.0,0.1399072903497682,6.0
sebastiani/pytorch-attention-augmented-convolution,ID1,Tool,16.0,1477.0,1.0,36.0,1.0,2101.0,0.0197260273972602,1.0
sebgao/cTensor,ID1,Tool,92.0,31.0,19.0,34.0,1.0,2354.0,0.0164013506994693,1.0
sebig3000/MachineLearning,ID1,Tool,125.0,43.0,35.0,25.0,1.0,2765.0,0.0100040016006402,1.0
sebpuetz/lumberjack,ID1,Tool,10.0,363.0,2.0,71.0,2.0,2129.0,0.0629432624113475,2.0
see--/keras-centernet,ID1,Tool,336.0,16059.0,84.0,12.0,1.0,2100.0,0.0069970845481049,1.0
seetaresearch/Dragon,ID1,Tool,105.0,7023.0,14.0,171.0,2.0,2509.0,0.0766472433886149,2.0
sekia/Algorithm-LibLinear,ID1,Tool,11.0,178.0,1.0,161.0,1.0,4338.0,0.0425026399155227,1.0
SekouD/mlconjug,ID1,Tool,69.0,54774.0,8.0,536.0,2.0,2671.0,0.2327399044724272,2.0
senyoltw/custom-hotword-for-aiy-voicekit,ID1,Tool,26.0,12971.0,12.0,28.0,2.0,2432.0,0.013139371187236,2.0
sepandhaghighi/pycm,ID1,Tool,1430.0,12006.0,121.0,3033.0,15.0,2558.0,1.325611888111888,15.0
SEPIA-Framework/sepia-assist-server,ID1,Tool,91.0,9650.0,15.0,592.0,1.0,2476.0,0.2718089990817263,1.0
serengil/chefboost,ID1,Tool,443.0,1135.0,101.0,383.0,4.0,2150.0,0.2027527792482795,4.0
serengil/neural-networks-py,ID1,Tool,20.0,40.0,12.0,42.0,1.0,2687.0,0.0178875638841567,1.0
sergeyshilin/kaggle-competitions-framework,ID1,Tool,9.0,34.0,6.0,29.0,1.0,2154.0,0.0159428257284222,1.0
Sergio0694/NeuralNetwork.NET,ID1,Tool,535.0,13739.0,82.0,803.0,2.0,3009.0,0.2930656934306569,2.0
serizba/cppflow,ID1,Tool,762.0,8768.0,176.0,132.0,17.0,2079.0,0.0727272727272727,17.0
SerpentAI/SerpentAI,ID1,Tool,6686.0,3859.0,777.0,250.0,7.0,2839.0,0.0970873786407767,7.0
sfischer13/python-arpa,ID1,Tool,38.0,206.0,13.0,215.0,1.0,3505.0,0.0701468189233279,1.0
SGpp/SGpp,ID1,Tool,66.0,595482.0,36.0,9315.0,30.0,2516.0,4.25536774783006,45.0
sh1ng/arboretum,ID1,Tool,64.0,672.0,14.0,130.0,2.0,3283.0,0.0433044636908727,2.0
shane-settle/neural-acoustic-word-embeddings,ID1,Tool,44.0,2436.0,8.0,11.0,1.0,2557.0,0.0050644567219152,1.0
shankarj67/Water-classifier-fastai,ID1,Tool,39.0,79627.0,50.0,15.0,1.0,2243.0,0.0076103500761035,1.0
shaoxiongji/federated-learning,ID1,Tool,1162.0,39.0,348.0,32.0,3.0,2491.0,0.0143497757847533,3.0
shawnwun/RNNLG,ID1,Tool,490.0,24255.0,126.0,45.0,1.0,3079.0,0.0165258905618802,1.0
shi510/mlfe,ID1,Tool,10.0,1523.0,3.0,500.0,1.0,2640.0,0.3599712023038157,1.0
shibing624/text-classifier,ID1,Tool,430.0,18199.0,70.0,322.0,2.0,2827.0,0.12578125,2.0
ShifuML/guagua,ID1,Tool,71.0,967.0,40.0,191.0,6.0,3914.0,0.0532775453277545,6.0
shimat/opencvsharp,ID1,Tool,5144.0,72053.0,1119.0,3044.0,30.0,4051.0,0.8031662269129287,66.0
shineware/RKOMORAN,ID1,Tool,15.0,15759.0,0.0,19.0,2.0,2141.0,0.0178907721280602,2.0
shogun-toolbox/shogun,ID1,Tool,3006.0,74465.0,1036.0,17589.0,30.0,5046.0,3.6820180029307097,175.0
shuguang-52/FDSSC,ID1,Tool,83.0,1049.0,28.0,32.0,1.0,2391.0,0.0152744630071599,1.0
siekmanj/sieknet,ID1,Tool,55.0,29174.0,4.0,970.0,3.0,2376.0,0.4908906882591093,3.0
silvandeleemput/memcnn,ID1,Tool,249.0,410.0,26.0,289.0,4.0,2523.0,0.130297565374211,4.0
sinhrks/daskperiment,ID1,Tool,24.0,2329.0,5.0,86.0,2.0,2191.0,0.0512820512820512,2.0
sintefneodroid/neo,ID1,Tool,7.0,211251.0,5.0,265.0,3.0,2739.0,0.1217271474506201,3.0
SirPolly/SandboxAI,ID1,Tool,28.0,4211.0,4.0,28.0,1.0,2173.0,0.0149892933618843,1.0
sisl/mechamodlearn,ID1,Tool,23.0,37.0,5.0,8.0,1.0,2165.0,0.0050761421319796,1.0
skorch-dev/skorch,ID1,Tool,5639.0,12277.0,378.0,1091.0,30.0,2746.0,0.4390342052313883,57.0
sleepyfoxen/nltk_model,ID1,Tool,8.0,22.0,3.0,13.0,1.0,2445.0,0.0075625363583478,1.0
SmartDataAnalytics/BioKEEN,ID1,Tool,45.0,10355.0,4.0,320.0,3.0,2312.0,0.1958384332925336,3.0
SmartDataAnalytics/PyKEEN,ID1,Tool,1530.0,27039.0,177.0,2832.0,30.0,1795.0,1.847358121330724,38.0
smistad/FAST,ID1,Tool,406.0,20140.0,98.0,3767.0,11.0,3964.0,1.017558076715289,11.0
snipsco/snips-nlu,ID1,Tool,3868.0,20278.0,516.0,2154.0,14.0,2906.0,0.814366729678639,14.0
snipsco/snips-nlu-parsers,ID1,Tool,15.0,131.0,32.0,102.0,4.0,2193.0,0.0577249575551782,4.0
snopt/snopt-matlab,ID1,Tool,56.0,209.0,24.0,100.0,2.0,3748.0,0.0292141396435874,2.0
snuspl/cruise,ID1,Tool,26.0,9167.0,1.0,1470.0,22.0,3478.0,0.4713049054184033,22.0
sohlex/botkit-rasa,ID1,Tool,21.0,101.0,14.0,37.0,2.0,2777.0,0.0160729800173761,2.0
sol-eng/tensorflow-w-r,ID1,Tool,46.0,13963.0,11.0,41.0,2.0,2298.0,0.0218317358892438,2.0
sorenlind/lemmy,ID1,Tool,72.0,2458.0,9.0,84.0,1.0,2650.0,0.0370860927152317,1.0
sorgerlab/indra,ID1,Tool,160.0,379930.0,60.0,13904.0,19.0,3818.0,3.9199323371863546,19.0
sotetsuk/paicli,ID1,Tool,12.0,726.0,1.0,152.0,1.0,2421.0,0.0896755162241887,1.0
Speedml/speedml,ID1,Tool,202.0,83.0,31.0,32.0,2.0,2824.0,0.0128051220488195,2.0
SPFlow/SPFlow,ID1,Tool,281.0,131097.0,80.0,647.0,21.0,2501.0,0.2934240362811791,21.0
spotify/zoltar,ID1,Tool,138.0,1962.0,33.0,505.0,18.0,2509.0,0.2284034373586612,18.0
sppp/ConvNetCpp,ID1,Tool,8.0,24330.0,3.0,108.0,1.0,2895.0,0.048582995951417,1.0
square/pysurvival,ID1,Tool,330.0,8047.0,105.0,24.0,2.0,2127.0,0.0130151843817787,2.0
sraashis/ature,ID1,Tool,63.0,310706.0,22.0,1274.0,3.0,2691.0,0.5297297297297298,3.0
src-d/ml,ID1,Tool,141.0,29668.0,44.0,999.0,18.0,2782.0,0.4858949416342412,18.0
src-d/ml-core,ID1,Tool,14.0,9417.0,16.0,87.0,5.0,2114.0,0.0737913486005089,5.0
src-d/modelforge,ID1,Tool,18.0,386.0,13.0,293.0,8.0,2751.0,0.3551515151515151,8.0
srihari-humbarwadi/tensorflow2.0_notebooks,ID1,Tool,6.0,7039.0,2.0,14.0,1.0,2117.0,0.0087774294670846,1.0
srohit0/trafficVision,ID1,Tool,64.0,15892.0,23.0,58.0,3.0,2206.0,0.0318506315211422,3.0
ssydasheng/FBNN,ID1,Tool,81.0,13469.0,10.0,11.0,1.0,2124.0,0.0059750135795763,1.0
stan-dev/pystan,ID1,Tool,315.0,215.0,58.0,232.0,12.0,2685.0,0.0960662525879917,12.0
stanfordnlp/CoreNLP,ID1,Tool,9475.0,382233.0,2694.0,17258.0,30.0,4228.0,4.350390723468616,105.0
stanfordnlp/stanfordnlp,ID1,Tool,111.0,3655.0,27.0,867.0,14.0,1774.0,0.5749336870026526,14.0
StanfordVL/MinkowskiEngine,ID1,Tool,2304.0,15315.0,338.0,531.0,25.0,2121.0,0.2854838709677419,25.0
stefan-it/capsnet-nlp,ID1,Tool,68.0,22.0,11.0,13.0,1.0,2502.0,0.0087601078167115,1.0
stephenjfox/Morph.py,ID1,Tool,17.0,76.0,2.0,13.0,1.0,2177.0,0.0071271929824561,1.0
